document,summary
"b""arriving hours after afghanistan 's aviation minister was beaten to death , british foreign secretary jack straw held talks friday with his afghan counterpart on the future of the british-led peacekeeping force protecting the capital , kabul .""",b'british foreign secretary holds talks with afghan officials after'
"b'to the sounds of arabic chants and pistol fire , the first palestinian police officers arrived in jenin on wednesday to start the process to end ## years of israeli military rule in most of the UNK areas of the west bank .'",b'with flags and gunfire palestinians get police force'
"b'workers at the hanford nuclear reservation were allowed to return sunday , following a ###,###-acre fire that disrupted thousands of lives and raised fears about possible radiation releases .'",b'hanford fire crews sent home'
"b'a greek man was hospitalized in athens to be tested for the virus that causes severe acute respiratory syndrome , or sars , authorities said friday .'",b'man hospitalized in greece for sars test'
"b""the kuala lumpur stock exchange closed higher monday as the market responded positively on friday 's announcement of the new cabinet line-up .""",b'kuala lumpur stocks close higher'
"b'hong kong customs officers will continue to take vigorous enforcement actions against piracy activities at both the retail and production levels , said a spokesman for the customs and excise department of hong kong tuesday .'",b'hk customs committed to fight piracy'
"b""democrat barack obama 's campaign to take the white house as the candidate representing change has run up against washington realities as he was forced to abandon a key figure in his search for a vice presidential running mate .""",b'mccain obama head straight into the thicket of difficult campaign issues'
"b'the brazilian electronic industry will grow ## percent this year , with a ##.# billion dollar income , nelson freire , president of the brazilian electric and electronic industry association , said .'",b'brazilian electronic industry expected to grow ## percent'
"b""with a bosnian peace treaty crowning his diplomatic career , president bill clinton 's pointman for the balkans , richard holbrooke , decided the time had come to leave his post at the state department .""",b'holbrooke bosnian dealmaker to leave us diplomacy'
"b""torrential rains linked to hurricane frances moved into the new york metropolitan area on wednesday , flooding the city 's subway system during the morning rush and bringing the region 's finely choreographed transportation network nearly to its knees .""",b'heavy rains stall new york subways'
"b'u.s. first lady laura bush is in afghanistan to highlight signs of rebirth in the embattled country sunday ahead of a donors conference in paris , where the u.s. hopes billions of dollars in international aid will be pledged .'",b'first lady laura bush in afghanistan to highlight progress in war-weary nation'
b'a british rabbi who wrote a book meant as a voice of hope after the sept. ## terror attacks was named tuesday as the winner of the #### louisville grawemeyer award in religion .',b'british rabbi wins grawemeyer award in religion'
"b""serbia 's hardline parliament speaker tomislav nikolic resigned from the post on sunday , just five days after his election and before a vote on his dismissal .""",b'serbian parliament speaker resigns after brief tenure'
b'north korean leader kim jong il appeared monday to be winding up a six-day visit to china that fueled speculation he was seeking aid and drumming up support for a succession plan involving his youngest son .',b'north korean leader kim may be headed home'
